Lambda;R;G;B;R_norm;G_norm;B_norm
380;0.0014;0;0.0065;0.001318019;0;0.003646359
385;0.0022;0.0001;0.0105;0.002071173;0.0001;0.005890273
390;0.0042;0.0001;0.0201;0.003954058;0.0001;0.011275665
395;0.0076;0.0002;0.0362;0.007154961;0.0002;0.020307416
400;0.0143;0.0004;0.0679;0.013462625;0.0004;0.03809043
405;0.0232;0.0006;0.1102;0.021841461;0.0006;0.061819814
410;0.0435;0.0012;0.2074;0.04095274;0.0012;0.116346909
415;0.0776;0.0022;0.3713;0.073055922;0.0022;0.20829126
420;0.1344;0.004;0.6456;0.126529844;0.004;0.36216762
425;0.2148;0.0073;1.0391;0.202221804;0.0073;0.5829126
430;0.2839;0.0116;1.3856;0.267275466;0.0116;0.777291597
435;0.3285;0.0168;1.623;0.309263792;0.0168;0.910467856
440;0.3483;0.023;1.7471;0.327904349;0.023;0.980085269
445;0.3481;0.0298;1.7826;0.327716061;0.0298;1
450;0.3362;0.038;1.7721;0.316512898;0.038;0.994109727
455;0.3187;0.048;1.7441;0.300037658;0.048;0.978402334
460;0.2908;0.06;1.6692;0.273771418;0.06;0.936385056
465;0.2511;0.0739;1.5281;0.236396159;0.0739;0.857231011
470;0.1954;0.091;1.2876;0.183957823;0.091;0.722315719
475;0.1421;0.1126;1.0419;0.133778949;0.1126;0.584483339
480;0.0956;0.139;0.813;0.090001883;0.139;0.456075395
485;0.058;0.1693;0.6162;0.054603653;0.1693;0.345674857
490;0.032;0.208;0.4652;0.030126153;0.208;0.260967127
495;0.0147;0.2586;0.3533;0.013839202;0.2586;0.19819365
500;0.0049;0.323;0.272;0.004613067;0.323;0.15258611
505;0.0024;0.4073;0.2123;0.002259461;0.4073;0.119095703
510;0.0093;0.503;0.1582;0.008755413;0.503;0.088746774
515;0.0291;0.6082;0.1117;0.027395971;0.6082;0.062661281
520;0.0633;0.71;0.0782;0.059593297;0.71;0.043868507
525;0.1096;0.7932;0.0573;0.103182075;0.7932;0.032144059
530;0.1655;0.862;0.0422;0.155808699;0.862;0.023673286
535;0.2257;0.9149;0.0298;0.212483525;0.9149;0.016717155
540;0.2904;0.954;0.0203;0.273394841;0.954;0.01138786
545;0.3597;0.9803;0.0134;0.338636792;0.9803;0.00751711
550;0.4334;0.995;0.0087;0.408021088;0.995;0.004880512
555;0.5121;1;0.0057;0.482112596;1;0.003197577
560;0.5945;0.995;0.0039;0.559687441;0.995;0.002187816
565;0.6784;0.9786;0.0027;0.638674449;0.9786;0.001514642
570;0.7621;0.952;0.0021;0.717473169;0.952;0.001178055
575;0.8425;0.9154;0.0018;0.793165129;0.9154;0.001009761
580;0.9163;0.87;0.0017;0.86264357;0.87;0.000953663
585;0.9786;0.8163;0.0014;0.921295425;0.8163;0.00078537
590;1.0263;0.757;0.0011;0.966202222;0.757;0.000617076
595;1.0567;0.6949;0.001;0.994822067;0.6949;0.000560978
600;1.0622;0.631;0.0008;1;0.631;0.000448783
605;1.0456;0.5668;0.0006;0.984372058;0.5668;0.000336587
610;1.0026;0.503;0.0003;0.94389004;0.503;0.000168294
615;0.9384;0.4412;0.0002;0.883449445;0.4412;0.000112196
620;0.8544;0.381;0.0002;0.804368292;0.381;0.000112196
625;0.7514;0.321;0.0001;0.707399736;0.321;5.60978E-05
630;0.6424;0.265;0;0.604782527;0.265;0
635;0.5419;0.217;0;0.510167577;0.217;0
640;0.4479;0.175;0;0.421672002;0.175;0
645;0.3608;0.1382;0;0.339672378;0.1382;0
650;0.2835;0.107;0;0.266898889;0.107;0
655;0.2187;0.0816;0;0.205893429;0.0816;0
660;0.1649;0.061;0;0.155243834;0.061;0
665;0.1212;0.0446;0;0.114102805;0.0446;0
670;0.0874;0.032;0;0.082282056;0.032;0
675;0.0636;0.0232;0;0.05987573;0.0232;0
680;0.0468;0.017;0;0.044059499;0.017;0
685;0.0329;0.0119;0;0.030973451;0.0119;0
690;0.0227;0.0082;0;0.02137074;0.0082;0
695;0.0158;0.0057;0;0.014874788;0.0057;0
700;0.0114;0.0041;0;0.010732442;0.0041;0
